Group,Column Index,Column Name,Data type,Mean/ Mode,Standard Deviation,Max,Description
Status,0,Controversial Flag,Boolean,0.004,0.065,1,Boolean indicating whether the confirmation status of a planet has been questioned in the published literature
Names,1,Planet Name,Identifyer,11 Com b,-,-,Planet name most commonly used in the literature
,2,Host Name,Identifyer,KOI-351,-,-,Stellar name most commonly used in the literature
,3,Planet Letter,Identifyer,b,-,-,"Letter assigned to the planetary component of a planetary system. The first planet discovered in a system is given the designation ""b"" (the parent star is considered to be ""a"") and later planets are given subsequent letters"
System Composition,4,Number of Stars,Numerical,1.105,0.349,4,Number of stars in the planetary system
,5,Number of Planets,Numerical,1.817,1.177,8,Number of confirmed planets in the planetary system
,6,Circumbinary Flag,Boolean,0.004,0.061,1,Boolean indicating whether the planet orbits a binary system
Planet Discovery,7,Discovery Method,Categorical,Transit,-,-,Method by which the planet was first identified
,8,Discovery Year,Numerical,2015.833,4.439,2024,Year the planet was discovered
,9,Discovery Locale,Categorical,Space,-,-,Location of observation of planet discovery (Ground or Space)
Detections,10,Detections by Radial Velocity Variations,Boolean,0.395,0.489,1,Boolean indicating if the planet host star exhibits radial velocity variations due to the planet
,11,Detected by Transits,Boolean,0.796,0.403,1,Boolean indicating if the planet transits its host star
,12,Detected by Imaging,Boolean,0.002,0.043,1,Boolean indicating if the planet has been observed via imaging techniques
Planet Parameters,13,Orbital Period (years),Numerical,1.221,9.667,465.445,"Time the planet takes to make a complete orbit around the host star or system, in Earth years"
,14,Orbit Semi-Major Axis (au),Numerical,0.559,2.049,68,"The longest radius of an elliptic orbit, equivalent to half of the major axis of the ellipse"
,15,Planet Radius (Earth Radius),Numerical,5.511,5.182,32.6,"Length of a line segment from the center of the planet to its surface, measured in units of radius of the Earth"
,16,Planet Mass (Earth Mass),Numerical,399.942,2459.971,89700,"Best planet mass estimate available, measured in Earth masses"
,17,Planet Density (g/cm**3),Numerical,4.115,15.841,879,Amount of mass per unit of volume of the planet
,18,Eccentricity,Numerical,0.073,0.148,0.95,Amount by which the orbit of the planet deviates from a perfect circle
,19,Equilibrium Temperature (K),Numerical,906.862,453.324,4050,The equilibrium temperature of the planet as modeled by a black body heated only by its host star
,20,Inclination (deg),Numerical,86.856,9.781,176.092,Angle of the plane of the orbit relative to the plane perpendicular to the line-of-sight from Earth to the object
,21,Transit Depth (%),Numerical,0.275,0.601,11.022,The size of the relative flux decrement caused by the orbiting body transiting in front of the star
,22,Transit Duration (hrs),Numerical,3.913,2.643,53.6,The length of time from the moment the planet begins to cross the stellar limb to the moment the planet finishes crossing the stellar limb
,23,Ratio of Semi-Major Axis to Stellar Radius,Numerical,0.038,0.038,0.661,The distance between the planet and the star at mid-transit divided by the stellar radius
,24,Radial Velocity Amplitude (m/s),Numerical,93.044,184.805,2310,Half the peak-to-peak amplitude of variability in the stellar radial velocity (component of velocity in the line-of-sight from Earth to the object)
