Controversial Flag,Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Locale,Detections by Radial Velocity Variations,Detected by Transits,Detected by Imaging,Orbital Period (years),Orbit Semi-Major Axis (au),Planet Radius (Earth Radius),Planet Mass (Earth Mass),Planet Density (g/cm**3),Eccentricity,Equilibrium Temperature (K),Inclination (deg),Transit Depth (%),Transit Duration (hrs),Ratio of Semi-Major Axis to Stellar Radius,Radial Velocity Amplitude (m/s),Spectral Type,Stellar Effective Temperature (K),Stellar Radius (Solar Radius),Stellar Mass (Solar mass),Stellar Metallicity (Solar Metallicity),Stellar Luminosity (log10(Solar)),Stellar Surface Gravity (log10(m/s^2)),Stellar Age (Gyr),Stellar Density (g/cm**3),Stellar Rotational Period (days),Systemic Radial Velocity (km/s),Total Proper Motion (mas/yr),Distance (ly),RA,Dec,U,B,G,V,R,I,Z,J,H,K,W1,W2,W3,W4,Spectral Class,Luminosity Class,Temperature Subscore,Eccentricity Subscore,Number of Stars Subscore,Habitability Score
0,11 Com b,11 Com,b,2,1,0,Radial Velocity,2007,Ground,1,0,0,0.885,1.178,12.2,4914.89849,14.9,0.238,,,,,,288.63,G8 III,4874.0,13.76,2.09,0.5495,1.978,0.45,,,,43.37,140.3836266,303.9272,185.1787793,17.7932516,,5.726,,4.72307,,,,2.943,2.484,2.282,0.639,0.732,2.358,2.27,G,III,0.1,0.999999986219,0.25,0.0
0,11 UMi b,11 UMi,b,1,1,0,Radial Velocity,2009,Ground,1,0,0,1.413,1.53,12.3,4684.8142,13.8,0.08,,,,,,189.7,K4 III,4213.0,29.79,2.78,0.955,2.43,-0.07,1.56,,,-17.52,10.6790187,408.742,229.2745954,71.8239428,,6.382,,5.013,,,,2.876,2.091,1.939,-0.29,0.143,1.894,1.787,K,III,0.1,0.999999999995,1.0,0.0
0,14 And b,14 And,b,1,1,0,Radial Velocity,2008,Ground,1,0,0,0.511,0.775,13.1,1131.1513,2.76,0.0,,,,,,86.08,K0 III,4888.0,11.55,1.78,0.6166,1.84,0.55,4.5,,,-59.73,299.2526179,246.0495,352.82415,39.2358367,,6.256,,5.23133,,,,3.019,2.608,2.331,1.592,2.545,2.719,2.719,K,III,0.1,1.0,1.0,0.0
0,14 Her b,14 Her,b,1,2,0,Radial Velocity,2002,Ground,1,0,0,4.833,2.774,12.6,2559.47216,7.03,0.373,,144.652,,,,89.582,K0 V,5338.0,0.93,0.91,2.541,-0.153,2.45,3.9,1.27393,,-13.82,324.5303062,58.4873,242.6021014,43.8163621,,7.495,,6.61935,,,,5.158,4.803,4.714,4.676,4.543,4.721,4.674,K,V,0.1,0.999988230649,1.0,0.0
0,16 Cyg B b,16 Cyg B,b,3,1,0,Radial Velocity,1996,Ground,1,0,0,2.186,1.66,13.5,565.7374,1.26,0.68,,,,,,50.5,G3 V,5750.0,1.13,1.08,1.1482,0.097,2.36,7.4,1.01103,,-28.1,211.1222128,68.9484,295.4656422,50.5168243,,6.876,6.787,6.215,6.165,,,4.993,4.695,4.651,4.773,4.568,4.926,4.713,G,V,0.1,0.0179862099621,0.111111111111,0.0
0,17 Sco b,17 Sco,b,1,1,0,Radial Velocity,2020,Ground,1,0,0,1.584,1.45,12.9,1373.01872,3.51,0.06,,,,,,92.4,K3 III,4157.0,25.92,1.22,0.9772,2.254,-0.3,5.13,,329.49,,10.6681995,407.5417,243.4620874,-11.8377905,,6.615,,5.22606,,,,2.943,2.266,2.094,0.122,0.752,2.058,1.931,K,III,0.1,0.999999999998,1.0,0.0
0,18 Del b,18 Del,b,2,1,0,Radial Velocity,2008,Ground,1,0,0,2.691,2.476,12.5,2926.24614,8.23,0.024,,,,,,114.96,G6 III,4980.0,8.8,2.1,0.871,1.634,0.87,1.1,,,4.35,60.6038527,248.6026,314.6078375,10.8391378,,6.43,,5.51048,,,,4.032,3.44,3.366,3.37,2.931,3.355,3.308,G,III,0.1,1.0,0.25,0.0
0,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,Imaging,2008,Ground,0,0,1,,330.0,18.647,3000.0,2.54,,1700.0,,,,,,K7 V,4060.0,1.31,0.85,,-0.37,2.0,0.005,0.38789,,,25.3771704,453.7972,242.3762343,-21.0831403,,14.168,,12.618,,,,9.82,9.121,8.916,8.794,8.79,8.684,8.531,K,V,0.001,0.1,1.0,0.0
0,24 Boo b,24 Boo,b,1,1,0,Radial Velocity,2018,Ground,1,0,0,0.083,0.194,13.9,280.64248,0.574,0.032,,,,,,55.67,G3 IV,4816.0,12.19,1.05,0.166,1.877,0.28,6.92,,,-7.77,307.6469784,313.0651,217.1555242,49.8446488,,6.439,,5.59,,,,3.845,3.34,3.159,,,,,G,IV,0.1,1.0,1.0,0.0
0,24 Sex b,24 Sex,b,1,2,0,Radial Velocity,2010,Ground,1,0,0,1.24,1.333,13.4,632.46,1.44,0.09,,,,,,40.0,K0 IV,5098.0,4.9,1.54,0.9333,1.164,1.5,2.7,,,7.29,74.6277468,235.0577,155.8684866,-0.9023998,,7.399,,6.4535,,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,K,IV,0.1,0.999999999992,1.0,0.0
