class,year,month,day
2025,2007,01,02
2025,2006,09,05
2025,2007,05,01
2027,2009,03,18
2026,2008,10,12
2027,2008,01,02
2026,2008,01,23
2024,2006,04,17
2026,2007,10,01
2027,2007,12,15
2027,2009,07,21
2024,2005,03,16
2025,2007,04,03
2025,2006,09,27
2027,2009,02,25
2027,2009,07,29
2025,2007,03,19
2024,2006,04,15
2025,2007,06,07
2027,2009,01,10
2026,2007,07,20
2024,2005,10,25
2026,2007,01,29
2027,2007,11,14
2024,2005,04,13
2027,2009,07,31
2026,2007,08,05
2024,2006,10,16
2025,2006,10,18
2027,2009,04,02
2025,2006,10,12
2024,2005,01,11
2026,2007,06,28
2027,2008,10,26
2026,2007,07,23
2024,2006,03,26
2025,2006,10,16
2024,2006,03,31
2024,2005,10,04
2025,2006,08,08
2026,2007,07,14
2026,2007,09,16
2024,2006,05,07
2026,2008,01,23
2025,2006,08,01
2024,2006,01,20
2026,2008,03,27
2024,2005,12,15
2027,2009,09,14
2026,2007,09,29
2026,2008,05,17
2024,2004,10,31
2027,2009,01,24
2026,2007,12,17
2025,2007,02,28
2025,2006,06,28
2025,2007,08,25
2024,2006,01,27
2025,2007,04,16
2027,2008,02,09
2025,2006,08,04
2024,2006,03,18
2027,2008,03,07
2026,2007,10,15
2024,2006,01,19
2024,2005,07,07
2026,2008,05,08
2025,2007,08,02
2025,2007,03,31
2025,2007,02,25
2027,2009,04,27
2027,2008,05,14
2024,2004,10,08
2026,2008,04,15
2024,2006,02,22
2026,2007,03,30
2024,2005,10,20
2025,2007,07,12
2024,2005,12,15
2024,2005,02,24
2024,2005,04,22
2024,2005,08,23
2024,2005,09,16
2027,2009,06,14
2027,2008,01,03
2026,2007,06,01
2024,2006,05,31
2025,2007,03,25
2024,2006,07,21
2025,2006,08,07
2025,2006,11,11
2024,2006,01,02
2025,2007,02,23
2025,2007,05,22
2024,2006,06,26
2026,2007,04,08
2026,2008,03,07
2027,2008,11,29
2025,2006,03,30
2025,2007,01,30
2025,2006,02,01
2024,2006,07,03
2025,2006,11,13
2026,2007,08,24
2024,2005,05,15
2024,2006,01,31
2025,2006,10,01
2024,2005,05,02
2027,2008,12,27
2024,2006,11,11
2024,2005,10,27
2025,2006,11,02
2026,2007,03,27
2026,2008,03,29
2027,2008,08,28
2027,2008,09,17
2025,2006,11,06
2026,2007,01,02
2025,2006,10,23
2026,2007,06,16
2024,2005,01,31
2025,2006,05,06
2024,2004,10,09
2025,2005,10,24
2026,2007,09,29
2024,2006,02,21
2024,2005,01,02
2026,2007,05,13
2024,2005,09,03
2024,2005,09,03
2025,2006,10,06
2027,2008,02,07
2025,2007,02,22
2024,2005,07,07
2024,2006,02,17
2025,2006,09,08
2024,2005,10,12
2025,2006,09,14
2024,2006,04,01
2025,2007,07,26
2026,2008,04,30
2025,2006,10,07
2027,2008,09,28
2027,2009,06,04
2024,2005,09,27
2025,2005,12,20
2027,2008,02,12
2024,2005,04,27
2026,2007,06,22
2026,2007,06,22
2026,2008,10,02
2025,2006,09,19
2027,2008,04,05
2027,2008,02,10
2027,2009,06,19
2025,2007,05,26
2027,2009,08,14
2025,2007,04,25
2027,2007,12,13
2024,2006,07,03
2024,2005,12,06
2026,2008,07,05
2026,2008,04,10
2026,2007,12,24
2024,2005,07,28
2024,2005,07,28
2024,2005,05,20
2026,2007,04,23
2026,2008,06,05
